iter	Logloss
0	0.5448321147
1	0.3901860225
2	0.2832767353
3	0.2342349284
4	0.2035172259
5	0.1706258945
6	0.1533949405
7	0.1423562099
8	0.1352095064
9	0.1307445721
10	0.1258218507
11	0.1229549932
12	0.1197731779
13	0.118171259
14	0.1149981142
15	0.113476007
16	0.1121341464
17	0.1116144236
18	0.1110862623
19	0.1103484496
20	0.1097562554
21	0.1085086387
22	0.1079346861
23	0.1074325749
24	0.1071378046
25	0.1067770173
26	0.106561944
27	0.1062828356
28	0.1060539118
29	0.1057481844
30	0.105393453
31	0.1052839321
32	0.1046297905
33	0.1044893954
34	0.1043097999
35	0.1041416996
36	0.1038897002
37	0.1037883584
38	0.1037320213
39	0.1036734795
40	0.1035013517
41	0.1033946388
42	0.103371381
43	0.1029593368
44	0.1028493402
45	0.1026979841
46	0.1026099919
47	0.1024673929
48	0.1024523562
49	0.1023602942
50	0.1022437845
51	0.1021704695
52	0.1020784979
53	0.1020161789
54	0.1018924659
55	0.1017708358
56	0.1017388356
57	0.1016575718
58	0.1015964986
59	0.1015770755
60	0.1015115331
61	0.101462159
62	0.1013728394
63	0.1013067282
64	0.1012368568
65	0.1011845661
66	0.1011717669
67	0.1010423251
68	0.1009900903
69	0.1009375075
70	0.1008991821
71	0.1008718222
72	0.1007965061
73	0.1007546807
74	0.1006537074
75	0.1005243731
76	0.1005243719
77	0.1005118982
78	0.1004346424
79	0.1003527138
80	0.1002628175
81	0.100157971
82	0.100157104
83	0.1001168529
84	0.1000772865
85	0.1000220115
86	0.09998086914
87	0.09985532453
88	0.09975615213
89	0.09964856062
90	0.09957680395
91	0.09957680194
92	0.09952212291
93	0.09946545864
94	0.09939626221
95	0.09938537106
96	0.09932396274
97	0.09931023144
98	0.09931023144
99	0.09921835773
100	0.09893694071
101	0.0989282442
102	0.0989108474
103	0.09886123436
104	0.09879637913
105	0.09873783826
106	0.09864037459
107	0.09856361668
108	0.09846652172
109	0.09835378093
110	0.0982766263
111	0.09822334627
112	0.098147586
113	0.09814479244
114	0.09806646638
115	0.09794089957
116	0.09793685147
117	0.09789205083
118	0.09784621843
119	0.0977822949
120	0.0976941479
121	0.09760271416
122	0.09754101628
123	0.09752931779
